gene,E95,E115,E135,R,maxI
Nck2,-0.015423304856595354,0.03929752530212801,0.05488051987243788,1,0.05488051987243788
Ecrg4,-0.005083453933620628,0.16582269118181903,0.252298025604591,1,0.252298025604591
Bivm,0.028359473701535253,0.05500021653250573,0.10913918731268282,1,0.10913918731268282
Ercc5,0.03395439819396016,0.03690029529202955,0.03890493792179303,1,0.03890493792179303
Gulp1,0.017284462415745497,0.022400019883091798,0.05603985166928729,1,0.05603985166928729
Col3a1,0.3553639619272177,0.44579987312220565,0.5746110306474402,1,0.5746110306474402
Col5a2,0.21657513946851115,0.2521389947853658,0.4440649255546888,1,0.4440649255546888
Wdr75,0.09612623718579137,0.15389389097762932,0.18075402496932094,1,0.18075402496932094
Slc40a1,0.08507283400146182,0.11893948954738141,0.2912607509729775,1,0.2912607509729775
Tmeff2,0.04067935434807141,0.2192619579219616,0.24833616574563874,1,0.24833616574563874
Cavin2,0.27171521441883395,0.35851928932429544,0.40995702670193174,1,0.40995702670193174
Myo1b,0.10327833429267319,0.13687838406214162,0.1628432209141895,1,0.1628432209141895
Stat1,0.005164920293513204,0.014428162573930791,0.034161030553550825,1,0.034161030553550825
Gls,0.07738941701410283,0.09382335469137935,0.13744993174160985,1,0.13744993174160985
Nemp2,0.004104005294909399,0.008733315407792427,0.024908088276623698,1,0.024908088276623698
Mfsd6,2.2156373372080065e-4,0.05906457109877998,0.07943685639336423,1,0.07943685639336423
1700019A02Rik,-0.015665294969450162,0.008435386830241918,0.01817202014539762,1,0.01817202014539762
Ormdl1,0.041158976170333046,0.07135842177066332,0.07923594011419562,1,0.07923594011419562
Asnsd1,0.0532848099337393,0.06177740912805032,0.06902478445488051,1,0.06902478445488051
Stk17b,0.008809738798584021,0.11956786134996726,0.33291970820997807,1,0.33291970820997807
Pgap1,0.10225948583147793,0.20382771985798304,0.39822097006964835,1,0.39822097006964835
Ankrd44,0.01167455738739464,0.03593521355979683,0.0819456116869355,1,0.0819456116869355
Sf3b1,0.13798924699902387,0.15032696658654113,0.20667424154227276,1,0.20667424154227276
Hspd1,0.29666252955805783,0.3163623671029279,0.40998966684938304,1,0.40998966684938304
Satb2,0.05117093388731858,0.330078304434397,0.3623760710220009,1,0.3623760710220009
1700066M21Rik,-0.02062888193370889,0.016279175640585435,0.018334528227155086,1,0.018334528227155086
Maip1,0.04325339352988209,0.08393706501536385,0.08834942135448595,1,0.08834942135448595
Spats2l,0.16783913896493582,0.17723117917839712,0.3415696993400615,1,0.3415696993400615
Sgo2a,0.05621952237690549,0.10185610099577641,0.11472440865566574,1,0.11472440865566574
Aox2,0.0024901492869413597,0.003067181360883249,0.0035564562403475105,1,0.0035564562403475105
Clk1,0.03802344812728913,0.052482235736466716,0.061628306226938274,1,0.061628306226938274
Orc2,0.137142576918346,0.18769505627961047,0.28427753509014264,1,0.28427753509014264
Fam126b,-0.002841621343709286,0.010284340602502577,0.020423122938559253,1,0.020423122938559253
Cflar,0.04281092407300911,0.0748729752149424,0.10105194843963326,1,0.10105194843963326
Casp8,0.041144545499078915,0.12507178632961452,0.1308187100087664,1,0.1308187100087664
Stradb,0.027866374501692295,0.04154257888220899,0.1610871080612916,1,0.1610871080612916
Mpp4,-0.01013620242888723,0.010445740057893763,0.03622619973503726,1,0.03622619973503726
Bmpr2,0.031074244171203056,0.08551844992233626,0.09303285981658385,1,0.09303285981658385
Fam117b,0.012858889094556486,0.06873580128314555,0.1995957524547665,1,0.1995957524547665
Ica1l,0.00815200394803413,0.17097515660407797,0.3831455426004198,1,0.3831455426004198
Wdr12,0.02795331394729771,0.0526705123267368,0.060791296218621976,1,0.060791296218621976
Carf,-0.016669006611758064,0.017284983238296477,0.017894766220223037,1,0.017894766220223037
Cyp20a1,0.027535937792704333,0.061235939821121306,0.08661231650184546,1,0.08661231650184546
Abi2,0.010146932155229525,0.12304160364227565,0.3030505154776463,1,0.3030505154776463
Eef1b2,0.257929419134256,0.27399482008772125,0.3216076585137385,1,0.3216076585137385
Gpr1,-0.007170246139971439,-0.002348189324339643,0.0025664871431590416,1,0.0025664871431590416
