gene,yao1,yao2,yao5,R,maxI
CRB3,0.024610732475447705,0.0588330360497436,0.08269104368878336,1,0.08269104368878336
RETN,-0.009417874394284254,0.026180358126516173,0.12942552262358464,1,0.12942552262358464
CLEC4G,-0.011156646615618456,0.003095549797479253,0.06362732554898454,1,0.06362732554898454
CLEC4M,0.1428062434956047,0.25807974694211433,0.3750420920598862,1,0.3750420920598862
CTXN1,0.09545307538848628,0.31141565827082135,0.35812192395898557,1,0.35812192395898557
CCL25,-0.030742842354364485,-0.005611118933012194,0.008668889855312003,1,0.008668889855312003
MARCH2,0.01195329389571176,0.03497798974365973,0.06518082310116832,1,0.06518082310116832
PRAM1,0.025038295655817833,0.04213391165442807,0.07658404644851662,1,0.07658404644851662
MYO1F,0.04654237838853979,0.05094380752405623,0.15242896575248588,1,0.15242896575248588
ZNF562,-0.08462162787110843,0.07113287342663498,0.07413742548190555,1,0.07413742548190555
ICAM4,0.040025754352730106,0.04999077384142446,0.09810384717152525,1,0.09810384717152525
ICAM5,-0.01110523904969982,0.024463368702546076,0.07553511597649566,1,0.07553511597649566
C19orf38,-0.011138007659238783,0.010675367218774122,0.032028456044449705,1,0.032028456044449705
ANGPTL8,-0.02088589203339525,0.08722477338659912,0.486398038381104,1,0.486398038381104
CCDC159,0.09575639455990397,0.10096744290147716,0.1332062861464568,1,0.1332062861464568
ELAVL3,0.29994767143915635,0.5384017023500204,0.573538206560038,1,0.573538206560038
ZNF491,0.025552720498549363,0.03360037801731845,0.05257947631770975,1,0.05257947631770975
RTBDN,-0.0036332870969860063,2.1825676318340445e-5,0.058916291869608776,1,0.058916291869608776
MAST1,0.14897075653776956,0.35045517020377703,0.4638366535423445,1,0.4638366535423445
KLF1,0.06605840033175528,0.14243721276691898,0.39846181839539685,1,0.39846181839539685
NFIX,0.05036653981225821,0.07612070558600832,0.4498851016279247,1,0.4498851016279247
LYL1,0.12920922716476357,0.13998545069943324,0.14787902664253566,1,0.14787902664253566
PODNL1,0.02748452618997383,0.06277691568180903,0.1937357451270335,1,0.1937357451270335
PALM3,0.029555511032309533,0.05629332592335026,0.09912381391634408,1,0.09912381391634408
PTGER1,-0.015329012425221705,0.010599393422833633,0.018632558466382176,1,0.018632558466382176
PGLYRP2,-0.006817105575887202,0.06007591932255206,0.43415278146968916,1,0.43415278146968916
CYP4F3,-0.010287971953767131,0.14969972552222696,0.5251762139128696,1,0.5251762139128696
OR10H1,-0.00421084406210126,-0.0012671541577252872,0.0027139854597701624,1,0.0027139854597701624
CYP4F2,-0.015291537017674068,0.03813069373307638,0.29686663128936114,1,0.29686663128936114
CIB3,-0.009410926465560932,-0.004345677984635513,3.164883053307122e-5,1,3.164883053307122e-5
CALR3,-0.007119712399582641,-2.5339841061347464e-6,0.002372043445551925,1,0.002372043445551925
NIBAN3,-0.010972298935166038,-0.007670917900968036,0.003661288100492379,1,0.003661288100492379
