gene,yao1,yao2,yao5,R,maxI
C19orf85,-0.00770469803731165,0.007534504526103092,0.015622181983400141,1,0.015622181983400141
ZNF784,0.001127359617498856,0.014444116610220133,0.016797195084038947,1,0.016797195084038947
SMIM17,0.00560407245556716,0.007897353061744812,0.02081337340500423,1,0.02081337340500423
ZNF547,-0.011267080609845085,0.005321975390927467,0.007653629576603246,1,0.007653629576603246
ZNF773,-0.016927209817987128,-0.006595933035405116,7.64636212053861e-4,1,7.64636212053861e-4
ZNF135,0.00993077274903706,0.02206073995395239,0.0389699495732802,1,0.0389699495732802
TRIB3,0.006430262245812314,0.023533400765783,0.06029012832365927,1,0.06029012832365927
SRXN1,0.02003676424256814,0.02270129640994889,0.05777755468421778,1,0.05777755468421778
SCRT2,0.012976831044803103,0.233318533013746,0.3888261914593536,1,0.3888261914593536
C20orf202,-0.0098828024219435,0.005714418008159292,0.009002940163649263,1,0.009002940163649263
TGM3,-0.022607991783191766,-0.0010813177449346002,0.02736476801605392,1,0.02736476801605392
TMC2,-0.005877294862251771,-7.198375742516012e-4,0.028254614199285846,1,0.028254614199285846
EBF4,0.15212647344429403,0.1566059165708208,0.16595743166177418,1,0.16595743166177418
OXT,-0.005026694524306099,0.0318090591100729,0.13620829741819873,1,0.13620829741819873
SIGLEC1,0.025936353851468735,0.03130340036265099,0.078400052277118007,1,0.078400052277118007
CHGB,0.07730046110653706,0.31131912690199126,0.4214145883000089,1,0.4214145883000089
HAO1,-0.0059746979116284005,0.022881388254221736,0.23694818418524444,1,0.23694818418524444
PAK5,0.12110273638181801,0.2346703965942746,0.2958701820217601,1,0.2958701820217601
SCP2D1,-0.0016874254499175153,-0.0010413326701528623,0.0053865867152411194,1,0.0053865867152411194
INSM1,0.16211073486258776,0.35232193245397003,0.4274098002843644,1,0.4274098002843644
XKR7,0.1970614050857149,0.37007562638713215,0.45090251771880413,1,0.45090251771880413
HCK,0.015724323542252013,0.01719967176340928,0.07521408134730662,1,0.07521408134730662
KIF3B,0.05825664942639558,0.0654542959314557,0.1091745680276243,1,0.1091745680276243
EFCAB8,-0.011745850727537607,-0.004435572275935909,0.016524427968147036,1,0.016524427968147036
BPIFB2,-0.0084960182361034,0.3496833194369216,0.5592004933861106,1,0.5592004933861106
ASIP,-0.010393666860885867,0.004397095319911823,0.2306132729262493,1,0.2306132729262493
ACSS2,0.09427917525311169,0.13244155422987772,0.5098027660395203,1,0.5098027660395203
MMP24,0.0592709632293502,0.27661975820021234,0.3779133847305002,1,0.3779133847305002
GDF5,-0.008186912878096246,0.0065620579753682155,0.15473442602145324,1,0.15473442602145324
SLA2,0.004784657865342434,0.01473662463691931,0.12760086328361422,1,0.12760086328361422
SAMHD1,0.13067133932610658,0.1556924323397112,0.21661022728364693,1,0.21661022728364693
NNAT,0.4352097750119133,0.4860837183016836,0.5458574450564335,1,0.5458574450564335
VSTM2L,0.2549208889667372,0.2667839518164939,0.402939731968823,1,0.402939731968823
KIAA1755,0.22030755527862023,0.3742412674796895,0.43035927022065407,1,0.43035927022065407
LBP,-0.003012349837982554,0.007036064916046331,0.16644371776378125,1,0.16644371776378125
EMILIN3,0.10626269696277972,0.13233327643327186,0.3038371972137576,1,0.3038371972137576
PTPRT,0.17218999093487675,0.22098632886419278,0.45380866995528457,1,0.45380866995528457
GDAP1L1,0.07687551260573901,0.3459158887916246,0.43347149167314053,1,0.43347149167314053
R3HDML,-0.0029989028635390652,0.01790776717676165,0.02217215688796081,1,0.02217215688796081
HNF4A,0.3348842176525923,0.4406036745787017,0.6758637274859896,1,0.6758637274859896
KCNK15,-0.008583875113433923,-0.004217203778515942,0.009994397983841798,1,0.009994397983841798
RIMS4,0.12181277392271443,0.1665957593474726,0.2656997015701798,1,0.2656997015701798
KCNS1,0.01174140245430129,0.03938922435297306,0.243985565314071,1,0.243985565314071
SLPI,-0.011125023921022867,0.024844599823282576,0.07609561009308621,1,0.07609561009308621
TNNC2,0.12023932708044476,0.5535881824074196,0.5882802522612501,1,0.5882802522612501
MMP9,0.0011464321817282372,0.004638404348993626,0.07568295513635512,1,0.07568295513635512
SLC12A5,-0.007214036021248273,-7.451831732476573e-4,0.058374666433974945,1,0.058374666433974945
ELMO2,0.014764108547581232,0.1157634859521285,0.20012135645210602,1,0.20012135645210602
SULF2,0.3250032469300509,0.4253410743123212,0.5189528678996084,1,0.5189528678996084
ATP9A,0.22530846335029373,0.28133837421394003,0.3617631123585679,1,0.3617631123585679
TSHZ2,0.441903934808548,0.5109213338274862,0.6192092244758397,1,0.6192092244758397
CBLN4,0.010186759334447563,0.013188325944516757,0.1836027840440089,1,0.1836027840440089
