gene,E95,E115,E135,R,maxI
Ihh,0.10497459560399926,0.20153098136875752,0.26019442038318047,1,0.26019442038318047
Abcb6,0.03819173262484927,0.08950104621423255,0.11973081528291686,1,0.11973081528291686
Dnajb2,0.016761257382266477,0.018438077254669918,0.018719606272067965,1,0.018719606272067965
Des,0.4107461717534832,0.43539839817772114,0.4702893504953119,1,0.4702893504953119
Asic4,0.28943271148462724,0.3704617492402067,0.5653944578691105,1,0.5653944578691105
Chpf,0.045192930691208,0.07094676568016826,0.2192251710226321,1,0.2192251710226321
Obsl1,0.04551458846342562,0.11767321399480334,0.1387622475399079,1,0.1387622475399079
Tmem198,0.025238229378631207,0.1520141980590522,0.22382215391591154,1,0.22382215391591154
Slc4a3,0.00535813014242469,0.06236425143159581,0.08687971786880061,1,0.08687971786880061
Epha4,0.172332723489041,0.2744485725817777,0.37024119555689644,1,0.37024119555689644
BC035947,-0.002035787096149364,0.014134797813311034,0.027233350361416837,1,0.027233350361416837
Wdfy1,0.008080882979521338,0.08436918302792067,0.13898979925766036,1,0.13898979925766036
Serpine2,0.058627431067063876,0.25592894534710303,0.26371220762450154,1,0.26371220762450154
Nyap2,0.11566516148655037,0.3404061866454863,0.4577051495368749,1,0.4577051495368749
Mff,0.03733321936543407,0.09240912728093247,0.1532269495830425,1,0.1532269495830425
A030005L19Rik,-0.006106210320726739,0.008183071816505636,0.012883780943213815,1,0.012883780943213815
Ccl20,-0.004757046918997424,5.732320711583233e-4,0.006217445036409489,1,0.006217445036409489
Pid1,0.1777242448304622,0.2577455674264269,0.3615258137270191,1,0.3615258137270191
Dner,0.00411134441787615,0.43856891008194954,0.575979484724883,1,0.575979484724883
Trip12,4.405128575540918e-4,0.07710051725876375,0.10725910601842983,1,0.10725910601842983
Slc16a14,-0.004069093331630523,0.13666467887815037,0.25789067950891686,1,0.25789067950891686
Itm2c,0.027558931797937024,0.16763463272530518,0.20978508399863965,1,0.20978508399863965
4933407L21Rik,0.02103883824560257,0.0350535925615751,0.053092737651706086,1,0.053092737651706086
Armc9,0.002136258451769719,0.005407078356571842,0.009503212868918752,1,0.009503212868918752
Dis3l2,0.0049118694115291295,0.014426424710623616,0.032517982808541616,1,0.032517982808541616
Chrnd,0.023681757524616466,0.20545142286698198,0.290351304007606,1,0.290351304007606
Chrng,0.15463468434409566,0.3014214281537437,0.3308922370319397,1,0.3308922370319397
Ugt1a6b,-0.0046087041470524994,0.0012105945467846407,0.04432341351514934,1,0.04432341351514934
Spp2,0.1986880787772806,0.439476753244936,0.6087726133978446,1,0.6087726133978446
Arl4c,0.13576609449077445,0.14920898581660774,0.19240676685113797,1,0.19240676685113797
Agap1,0.06199926249306466,0.1684159271437176,0.30729418340386094,1,0.30729418340386094
Cops8,0.05670219379000694,0.11854120395390823,0.12192687041588021,1,0.12192687041588021
Col6a3,0.06932731010203726,0.17421812214532623,0.4064362880251439,1,0.4064362880251439
Mlph,0.013573914084831848,0.01625898882924476,0.018305239933199723,1,0.018305239933199723
Scly,0.04887271062750345,0.12140566896289598,0.19630623153421048,1,0.19630623153421048
Erfe,-0.008776557793248803,-0.0033722342600100946,0.006865512863275214,1,0.006865512863275214
Cops9,0.06081992325127601,0.08081346830822671,0.10101837064393633,1,0.10101837064393633
Dusp28,-0.013613242574889169,0.008910302223175947,0.009481330190120468,1,0.009481330190120468
Kif1a,0.08984927142893219,0.3643382645858325,0.4634872476327694,1,0.4634872476327694
Sned1,0.036335244693118815,0.07732117089855041,0.1322272937600781,1,0.1322272937600781
Hdlbp,0.12151294089662205,0.15426605126599782,0.2572375456575706,1,0.2572375456575706
Stk25,0.08044366907907424,0.11045226877770824,0.3249893180053085,1,0.3249893180053085
Bok,0.03548008881969118,0.06211116083682174,0.10825783940170156,1,0.10825783940170156
Atg4b,0.024748153993495687,0.078551365065989,0.0794995226765786,1,0.0794995226765786
Ing5,0.006055519484200259,0.09359064857605166,0.12496164597156324,1,0.12496164597156324
D2hgdh,-0.013675065889835915,0.008199822449958996,0.015305651626848773,1,0.015305651626848773
St8sia4,0.14219160499039948,0.24659603943364833,0.26822825876156287,1,0.26822825876156287
D1Ertd622e,-0.00690543344817978,0.04582007609322374,0.048398207325910325,1,0.048398207325910325
Ppip5k2,-0.0028149656875310495,0.06343419725630552,0.08672575526864261,1,0.08672575526864261
Rnf152,0.016887090981234757,0.1460053157798364,0.29255612946307225,1,0.29255612946307225
Phlpp1,0.06313960544663917,0.08533425846145036,0.08831941714161361,1,0.08831941714161361
Bcl2,-0.014691061800308877,0.02548637590760726,0.04087508787724718,1,0.04087508787724718
Cdh7,-0.009914771782921586,0.09035652094198744,0.10338359726758967,1,0.10338359726758967
Clasp1,0.04480358227836861,0.09496893611208049,0.1786744642486535,1,0.1786744642486535
Gli2,0.06849368878711436,0.09169011796398248,0.10308747017132616,1,0.10308747017132616
Ralb,0.20037305276733203,0.22550854726587027,0.3007487737672084,1,0.3007487737672084
Ptpn4,0.047322317043963766,0.10250675010895902,0.15843040245511128,1,0.15843040245511128
Sctr,-0.008201477300856847,0.08645918498648153,0.1134857009650032,1,0.1134857009650032
Tmem37,-0.01717723831467216,0.004459579127167524,0.028572496135957744,1,0.028572496135957744
Steap3,0.03989365958171099,0.2466041392584562,0.4027403814240432,1,0.4027403814240432
C1ql2,0.021960251967706897,0.10141788458803241,0.1280752033934751,1,0.1280752033934751
Insig2,0.03331548907665686,0.050908834720073085,0.08732926244308516,1,0.08732926244308516
Actr3,0.03331380914552883,0.08661625579447929,0.13695509762720304,1,0.13695509762720304
Gpr39,0.14458650917573768,0.19006541019143375,0.27835748996336024,1,0.27835748996336024
Lypd1,0.10101637012703864,0.24359539310197184,0.3590132355966931,1,0.3590132355966931
Nckap5,0.025391179366513125,0.07607309968563904,0.15591860462937396,1,0.15591860462937396
R3hdm1,-0.0032646326482052793,0.04913166369854673,0.08800237033478568,1,0.08800237033478568
Thsd7b,0.19096114234899927,0.2504188631603007,0.25664125290316636,1,0.25664125290316636
AA986860,0.035042626612815146,0.05381112588707404,0.10854467213599929,1,0.10854467213599929
Mapkapk2,0.14371453447471225,0.1573893164255377,0.23385286740235284,1,0.23385286740235284
Dyrk3,0.056142193697889545,0.06481659496852239,0.15716339057384213,1,0.15716339057384213
Srgap2,0.031701459587802565,0.032147058720880826,0.11541796142481038,1,0.11541796142481038
Pm20d1,0.051063216995993754,0.07788171872772791,0.20356156048326113,1,0.20356156048326113
Slc41a1,-0.014783645180082431,0.08302116008782406,0.14166716696566137,1,0.14166716696566137
Rab29,0.003994362878407937,0.01997704495707891,0.031040359110622792,1,0.031040359110622792
Elk4,-0.007690389513247543,0.017335711663259576,0.022577736932626283,1,0.022577736932626283
Tmcc2,0.042535946297722435,0.1200811910784126,0.4655948923683844,1,0.4655948923683844
